Sitios;Codigo;Tem_agua;Tem_aire;OD;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_total_l_mg_l;Fosf_ortofos_mg_l;DBO_mg_l;DQO_mg_l;Turbiedad_NTU;Hidr_Deriv_Petr_ug_l;Cr_total_mg_l;Cd_total_mg_l;Clorofila_a_ug_l
Costaneras;VL031;23,5;;5,97;7,42;;;;;;;;7,78;0,54;;;;45;;;;;
Reservas y Puertos;SI022;25,2;22;;;;;;;1500;300;700;9,69;1;;;;38;;;;;
Balnearios;BS092;23,3;19;;;;;;;700;300;700;10,3;0,35;;;;42;;;;;
Reservas y Puertos;SI022;23,5;20;7,36;7,88;;;;;4800;400;1500;9,23;0,61;;;;29;;;;;
TOMA DE AGUA;EN082;24,1;20;4,95;7,41;;;;;400;300;400;8,88;0,12;;;;33;;;;;
Arroyos;TI009;24,1;20;1,29;7,53;;;;;24000;1100;24000;6,15;2;;;;35;;;;;
Reservas y Puertos;SI022;22,6;20;4,85;7,38;;;;;2300;900;900;7,94;0,39;;;;25;;;;;
Balnearios;BS092;22,3;19;5,85;7,42;;;;;400;300;400;10,66;0,1;;;;39;;;;;
Balnearios;BS092;21,3;19;8,04;8,08;;;;;2300;300;900;8,96;0,1;;;;64;;;;;
Berisso;BS095;26,5;19;3,07;7,32;;;;;110000;1500;46000;8,53;0,8;;;;63;;;;;
Canales;TI001;16;;8,49;7,45;;;;;2300;300;300;1,5;0,3;;;;35;;;;;
Canales;TI001;16;;8,47;7,43;;;;;1500;300;300;1,5;2;;;;28;;;;;
Rios;TI006;15;;8,05;7,48;;;;;4800;300;900;10;1;;;;27;;;;;
Rios;TI006;15;;8,41;7,53;;;;;9300;300;300;64;1,25;;;;28;;;;;
Rios;TI006;12;;8,58;6,92;;;;;4800;300;300;4,5;1,25;;;;29;;;;;
Rios;TI006;16,2;;8,02;7,45;;;;;15000;300;300;17;1,3;;;;20;;;;;
Rios;TI006;14;;8,05;7,51;;;;;4800;300;400;41;1,6;;;;22;;;;;
Rios;TI006;16;;8,89;7,42;;;;;900;300;300;1,8;0,2;;;;17;;;;;
Arroyos;TI009;14,08;;8,75;7,42;;;;;900;300;300;13;0,2;;;;22;;;;;
Costaneras;VL031;15;7;8,19;7,77;;;;;24000;300;700;9;0,9;;;;22;;;;;
Ensenada;EN084;13,2;13;9,18;7,82;;;;;24000;400;400;3,5;1,1;;;;23;;;;;
Reservas y Puertos;SI022;13;13;8,81;7,91;;;;;46000;300;300;9,5;1,4;;;;27;;;;;
Ensenada;EN084;13;17;3,6;7,84;;;;;15000;700;700;25;4,1;;;;20;;;;;
Ensenada;EN084;13;15;8,97;7,89;;;;;12000;300;300;2,5;1;;;;28;;;;;
Costaneras;VL031;13,1;;8,8;7,54;;;;;2800;300;300;26;0,7;;;;30;;;;;
