Sitios;Codigo;Tem_agua;Tem_aire;OD;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_total_l_mg_l;Fosf_ortofos_mg_l;DBO_mg_l;DQO_mg_l;Turbiedad_NTU;Hidr_Deriv_Petr_ug_l;Cr_total_mg_l;Cd_total_mg_l;Clorofila_a_ug_l
Rios;TI006;14,6;9;10,08;6,88;ausencia;ausencia;ausencia;ausencia;1000;600;100;2,1;0,3;0,2;0,1;2;30;22;100;0,005;0,001;0,01
Arroyos;TI009;13,8;11;9,5;7,06;ausencia;ausencia;ausencia;ausencia;;;;2,2;0,05;0,2;0,1;2;30;29;100;0,005;0,001;0,01
Costaneras;VL031;18;12;5,95;7,32;ausencia;ausencia;ausencia;ausencia;3000;100;40;2,3;1;0,26;0,3;2,7;30;25;100;0,005;0,001;0,01
Reservas y Puertos;SI022;16;13;8,02;7,52;ausencia;ausencia;ausencia;ausencia;1000;1000;100;7;0,8;0,35;0,35;5,5;30;20;100;0,005;0,001;0,01
Playas;BS091;15,7;14;8,14;7,03;ausencia;ausencia;ausencia;ausencia;14000;4400;700;5,4;0,5;0,35;0,37;5,5;30;23;100;0,005;0,001;0,01
Ensenada;EN084;17;14;4,07;7,27;ausencia;ausencia;ausencia;ausencia;80000;5000;2800;21;1,6;0,41;0,45;4,1;30;9;100;0,005;0,001;0,01
Reservas y Puertos;SI022;13,8;11;8,9;7,81;ausencia;ausencia;ausencia;ausencia;5000;400;100;4,9;0,3;0,34;0,37;4,9;30;19;100;0,0052;0,001;0,01
Reservas y Puertos;SI022;13,5;11;9,4;7,5;ausencia;ausencia;ausencia;ausencia;20000;3000;900;5,7;0,3;0,32;0,31;4;30;24;100;0,005;0,001;0,01
Costaneras;VL031;14;11;9,08;7,59;ausencia;ausencia;ausencia;ausencia;20000;7000;800;5,2;0,1;0,31;0,32;4,7;30;16;100;0,005;0,001;0,01
Reservas y Puertos;SI022;15,2;;6,9;7,6;ausencia;ausencia;ausencia;ausencia;50000;11000;4100;4,2;3,09;0,1;0,38;5;50;32;100;0,01;0,001;0,01
Costaneras;VL031;14,5;;8,6;7,6;ausencia;ausencia;ausencia;ausencia;13000;6000;3100;3,4;1,8;0,08;0,19;5;50;31;100;0,01;0,001;0,01
Reservas y Puertos;SI022;14,7;;8,6;7,6;ausencia;ausencia;ausencia;ausencia;4000;3800;810;3,6;1,8;0,08;0,2;5;50;31;100;0,01;0,001;0,01
Reservas y Puertos;SI022;15,2;;7,95;7,11;ausencia;ausencia;ausencia;ausencia;1000;1000;260;4,6;1,4;0,32;0,3;3,4;30;17;100;0,005;0,001;0,01
Reservas y Puertos;SI022;15,5;;9;7,7;ausencia;ausencia;ausencia;ausencia;12000;1200;360;3,5;2,06;0,1;0,42;5;50;39,6;100;0,01;0,001;0,01
Ensenada;EN084;15,4;12;2,16;7,05;ausencia ;ausencia ;ausencia ;ausencia ;42000;1000;800;2;2,3;0,65;0,71;4,2;32;22;100;0,005;0,001;0,01
Playas;BS091;15,1;13;3,76;7,11;ausencia ;ausencia ;ausencia ;ausencia ;40000;3000;20;2,2;2;0,61;0,56;3,3;30;13;100;0,005;0,001;0,01
Arroyos;TI009;14,8;13;3,7;7,04;ausencia ;ausencia ;ausencia ;ausencia ;60000;3000;100;2,1;2,2;0,73;0,63;4,8;30;11;100;0,0057;0,001;0,018
Costaneras;VL031;14,6;13;3,73;7,07;ausencia ;ausencia ;ausencia ;ausencia ;3000;1500;300;2;3,1;0,75;0,7;10;32;10;100;0,005;0,001;0,01
Arroyos;TI009;14,7;13;5,83;7,21;ausencia ;ausencia ;ausencia ;ausencia ;400;200;27;2,3;2,7;0,63;0,63;6,5;31;21;100;0,005;0,001;0,01
Ensenada;EN084;14,5;7;9,29;7,29;ausencia;ausencia;ausencia;Presencia;12000;50;5;3,2;0,1;0,52;0,41;6,6;30;29;100;0,005;0,001;0,01
Reservas y Puertos;SI022;13,6;7;8,97;8,24;ausencia;ausencia;ausencia;ausencia;2000;100;10;4,8;0,2;0,38;0,29;6,8;30;30;100;0,005;0,001;0,01
Ensenada;EN084;13,1;7;8,63;7,93;ausencia;ausencia;ausencia;ausencia;10000;500;140;3,7;1;0,46;0,34;8,1;30;18;100;0,005;0,001;0,01
Berisso;BS095;12;16;10,13;8,63;ausencia;ausencia;ausencia;ausencia;10000;500;100;4,1;0,6;0,29;0,24;7,1;64;16;100;0,005;0,001;0,01
Reservas y Puertos;SI022;13;12;11,82;8,8;ausencia;ausencia;ausencia;ausencia;1000;100;300;3,5;0,7;0,22;0,2;7,7;125;12;100;0,005;0,001;0,01
Costaneras;VL031;12;10;10,16;9,36;ausencia;ausencia;ausencia;ausencia;10000;1000;100;3,4;0,7;0,2;0,15;9,4;62;21;100;0,0052;0,001;0,221
Reservas y Puertos;SI022;11,4;4;12,47;9,44;ausencia;ausencia;ausencia;ausencia;300;100;110;5,1;1,1;0,41;0,37;8,8;47;31;100;0,005;0,001;0,131
TOMA DE AGUA;EN082;12,1;4;12,72;9,25;ausencia;ausencia;ausencia;ausencia;700;20;50;4,4;0,7;0,2;0,11;5,2;30;23;100;0,005;0,001;0,01
Arroyos;TI009;12,9;4;9,27;8,04;ausencia;ausencia;ausencia;ausencia;500;100;380;3,5;2,9;0,28;0,14;6,3;30;19;100;0,005;0,001;0,01
Ensenada;EN084;11,9;4;12,61;8,95;ausencia;ausencia;ausencia;ausencia;1600;100;160;3,9;1,8;0,2;0,11;3,6;30;23;100;0,005;0,001;0,01
Balnearios;BS092;10;12;6,32;7,77;ausencia ;ausencia;ausencia;ausencia;80000;10000;3700;2;9,3;1,3;1,2;6,9;35;10;100;0,005;0,01;0,01
Costaneras;VL031;10;12;6,84;8,14;presencia;presencia;presencia;presencia;100000;30000;6200;2;13;1,5;1,5;5,5;125;8,7;100;0,005;0,001;0,01
Playas;BS091;8;10;9,7;8,04;ausencia;ausencia;ausencia;ausencia;15000;1500;1000;4,2;0,2;0,56;0,44;7;30;29;100;0,005;0,001;0,01
Balnearios;BS092;7;9;9,99;9,22;ausencia;Ausencia;ausencia;ausencia;300;20;20;2;1,3;0,33;0,23;5;30;75;100;0,005;0,001;0,01
Playas;BS091;7;8;10,7;9,19;ausencia;ausencia;ausencia;ausencia;4200;80;240;2;0,7;0,45;0,22;7,3;37;75;100;0,005;0,001;0,01
Canales;TI001;24,4;29;7,28;6,91;Ausencia;Ausencia;Ausencia;Presencia;400;200;65;2,7;0,44;0,27;0,12;2;31;45;100;0,005;0,001;0,004
Rios;TI006;25,4;33;6,2;6,9;Ausencia;Ausencia;Ausencia;Presencia;2000;1000;58;4,2;3,3;0,2;0,14;2;37;36;100;0,005;0,001;0,004
Canales;TI001;24,6;29;1,81;6,71;Presencia;Presencia;Ausencia;Presencia;4000;1000;1350;2;3,1;0,47;0,39;6;43;19;100;0,005;0,001;0,03
Rios;TI006;23,8;31;4,71;6,77;Ausencia;Ausencia;Ausencia;Presencia;3000;2000;10;2;0,3;0,2;0,19;2;37;33;100;0,005;0,001;0
Rios;TI006;24,7;31;5,07;6,75;Presencia;Presencia;Ausencia;Presencia;6200;1400;200;2,2;0,05;0,21;0,2;2,2;33;31;100;0,005;0,001;0,001
Rios;TI006;23;27;0,82;7,19;Presencia;Presencia;Ausencia;Presencia;30000;5000;1340;2;9,7;1,1;1,3;12;65;13;100;0,005;0,001;0,012
Rios;TI006;24,2;32;3,9;6,71;Ausencia;Presencia;Ausencia;Presencia;15000;12000;430;2;1,8;0,25;0,39;4,2;31;21;100;0,005;0,001;0,004
Rios;TI006;24,8;32;7,27;7,13;Ausencia;Ausencia;Ausencia;Ausencia;8000;150;40;2;0,09;0,2;0,1;2;30;32;100;0,005;0,001;0,002
Arroyos;TI009;24;32;6,12;6,96;Ausencia;Ausencia;Ausencia;Ausencia;5000;2000;40;4;0,44;0,2;0,1;2;34;33;100;0,005;0,001;0,002
Costaneras;VL031;22;25;3,61;8,13;Ausencia;Ausencia;Ausencia;Ausencia;3000;300;30;2;1,1;0,27;0,29;2,3;57;17;100;0,005;0,001;0,002
Reservas y Puertos;SI022;25;32;6,4;7,4;Ausencia;Ausencia;Ausencia;Ausencia;15000;2400;290;3,4;2,1;0,31;0,27;2,8;39;11;100;0,005;0,001;0,01
Playas;BS091;27,5;32;7,19;7,55;Ausencia;Ausencia;Ausencia;Ausencia;4000;300;30;5,6;0,1;0,31;0,3;2;42;7,6;100;0,005;0,001;0,01
Ensenada;EN084;26;32;5,9;7,3;Ausencia;Ausencia;Ausencia;Ausencia;5000;2000;450;9;0,6;0,36;0,32;3,1;34;9,4;100;0,005;0,001;0,01
Reservas y Puertos;SI022;25,8;24;8,12;7,24;Ausencia;Ausencia;Ausencia;Ausencia;8300;900;360;4,9;1,1;0,34;0,3;3,2;67;6;100;0,005;0,001;0,01
Reservas y Puertos;SI022;23,6;24;7;7,14;Ausencia;Ausencia;Presencia;Presencia;28000;300;500;6,1;0,6;0,32;0,3;2,1;59;7,1;100;0,005;0,001;0,01
Costaneras;VL031;22,4;24;7,21;7,17;Ausencia;Ausencia;Ausencia;Ausencia;8000;3000;300;5,2;0,05;0,28;0,26;2,2;30;9,3;100;0,005;0,001;0,01
Reservas y Puertos;SI022;24,7;;7,2;7,7;Ausencia;Ausencia;Ausencia;Ausencia;23000;2500;5200;5,3;1,6;0,27;0,33;4,2;41;16;100;0,005;0,001;0,015
Reservas y Puertos;SI022;23,8;31;6,8;7,36;Ausencia;Ausencia;Ausencia;Ausencia;5200;1200;240;3,6;0,7;0,2;0,16;2;30;18;100;0,005;0,001;0,01
Reservas y Puertos;SI022;25,5;33;6,49;7,68;Ausencia;Ausencia;Ausencia;Presencia;8400;2700;330;4,7;1,4;0,34;0,31;5,3;66;11;100;0,005;0,001;0,01
Reservas y Puertos;SI022;23,5;33;1,8;7,12;Ausencia;Ausencia;Ausencia;Ausencia;1400;600;90;2,4;0,11;0,51;0,69;4,2;41;3,9;100;0,005;0,001;0,01
Reservas y Puertos;SI022;27,2;33;6,52;7,7;Ausencia;Ausencia;Ausencia;Ausencia;300;100;260;2;0,22;0,23;0,24;4,9;68;20;100;0,005;0,001;0,01
Costaneras;VL031;24,9;;8,1;8,1;Ausencia;Ausencia;Ausencia;Ausencia;35000;5200;6100;4,4;1,7;0,25;0,27;6,9;35;13;100;0,005;0,001;0,012
Reservas y Puertos;SI022;24,2;;7,8;7,7;Ausencia;Ausencia;Ausencia;Ausencia;100000;45000;490;6,1;2,5;0,2;0,17;5,7;35;21;100;0,005;0,001;0,015
Reservas y Puertos;SI022;23,8;;7,9;7,6;Ausencia;Ausencia;Ausencia;Ausencia;3000;230;240;4,7;0,05;0,33;0,31;5,2;38;10;100;0,005;0,001;0,001
Ensenada;EN084;21,4;28;4,24;6,85;Ausencia;Ausencia;Ausencia;Ausencia;1000;100;190;2;1;0,25;0,28;2,7;73;14;100;0,005;0,001;0,001
Playas;BS091;23,9;28;4,59;6,76;Ausencia;Ausencia;Ausencia;Ausencia;2000;100;100;2;1,5;0,25;0,29;2,4;52;15;100;0,005;0,001;0,01
Arroyos;TI009;21,4;29;4,82;6,82;Ausencia;Ausencia;Ausencia;Ausencia;2000;1000;200;2;0,1;0,35;0,38;3,5;30;13;100;0,005;0,001;0,01
Costaneras;VL031;25;29;4,24;6,94;Ausencia;Ausencia;Ausencia;Ausencia;6000;200;100;2,2;0,4;0,36;0,41;3,7;37;12;100;0,005;0,001;0,008
Arroyos;TI009;26;29;0,74;6,96;Ausencia;Ausencia;Ausencia;Ausencia;100000;50000;2100;2;3,1;0,75;0,76;14;43;10;100;0,005;0,001;0,043
Ensenada;EN084;23,1;28;8,83;7,43;Presencia;Ausencia;Ausencia;Ausencia;4000;500;5;2;0,8;0,24;0,53;6,2;37;9,9;100;0,005;0,001;0,02
Reservas y Puertos;SI022;23,5;28;8,84;7,59;Ausencia;Ausencia;Ausencia;Ausencia;3000;100;34;5,1;1,6;0,32;0,29;5,8;36;16;100;0,005;0,001;0,042
Ensenada;EN084;24,3;28;13,18;8,11;Ausencia;Ausencia;Ausencia;Ausencia;2800;100;40;2,9;0,6;0,57;0,51;4,4;88;11;100;0,005;0,001;0,072
Berisso;BS095;27;27;12,65;9,18;Ausencia;Ausencia;Ausencia;Ausencia;6000;1400;100;5,7;0,89;0,75;0,59;;140;70;100;0,005;0,001;0,213
Reservas y Puertos;SI022;26;26;12,47;9,07;Ausencia;Ausencia;Ausencia;Ausencia;800;200;30;5,9;0,5;0,36;0,25;;52;27;100;0,005;0,001;0,099
Costaneras;VL031;26;26;11,52;8,94;Ausencia;Ausencia;Ausencia;Ausencia;190000;20000;500;5,4;0,34;0,47;0,19;13;;50;100;0,0057;0,001;0,84
Berisso;BS095;;28;;;Ausencia;Ausencia;Ausencia;Ausencia;6000;200;20;7,5;0,07;0,43;0,19;5,6;61;31;100;0,0059;0,001;0,079
Reservas y Puertos;SI022;22,7;27;12,22;9,18;Ausencia;Ausencia;Ausencia;Ausencia;300;20;4;6,9;0,14;0,33;0,16;7,1;82;45;100;0,005;0,001;0,11
TOMA DE AGUA;EN082;24,7;27;8,57;8,17;Ausencia;Ausencia;Ausencia;Ausencia;100;5;6;6,2;0,61;0,21;0,18;2,1;30;14;100;0,005;0,001;0,01
Arroyos;TI009;22,4;27;3,91;7,56;Ausencia;Ausencia;Ausencia;Ausencia;6100;5100;660;4,6;4,1;0,28;0,1;12;48;15;100;0,005;0,001;0,01
Ensenada;EN084;22;27;8,7;8,15;Ausencia;Ausencia;Ausencia;Ausencia;400;100;225;7,9;0,74;0,22;0,13;3,9;41;25;100;0,005;0,001;0,025
Balnearios;BS092;10;19;8,2;8,01;Ausencia;Ausencia;Ausencia;Presencia;40000;1000;12;3,5;3,1;1,1;0,25;6,8;62;14;100;0,005;0,001;0,063
Costaneras;VL031;10;19;5,79;7,71;Presencia;Presencia;Presencia;Presencia;140000;12000;28000;2;14;1,6;1,5;11;55;7;100;0,005;0,001;0,026
Playas;BS091;11;19;5,7;7,78;Ausencia;Presencia;Ausencia;Presencia;10000;700;300;2;0,9;1,1;1,2;3;50;4,9;100;0,005;0,001;0,01
Balnearios;BS092;11;19;7,58;8,21;Ausencia;Ausencia;Ausencia;Ausencia;110;290;15;4,1;0,41;0,31;0,27;2,5;57;70;100;0,005;0,001;0,042
Playas;BS091;11;19;8,29;8,39;Ausencia;Presencia;Ausencia;Presencia;3600;170;2;3,9;0,11;0,2;0,11;3;58;50;100;0,005;0,001;0,084
Canales;TI001;15,6;13;8,28;6,79;Ausencia;Ausencia;Ausencia;Ausencia;4000;200;50;3;0,98;0,2;4,1;2;30;110;100;0,005;0,001;9
Rios;TI006;15,7;13;6,9;7;Ausencia;Ausencia;Ausencia;Ausencia;30000;1000;800;2,9;0,57;0,2;4,3;2;30;150;100;0,005;0,001;9
Canales;TI001;15,7;13;4,82;7,04;Ausencia;Ausencia;Ausencia;Ausencia;80000;60000;5600;2,9;4,3;0,51;4,8;5,6;30;70;100;0,005;0,001;9
Rios;TI006;15,1;13;4,87;7,05;Ausencia;Ausencia;Ausencia;Ausencia;40000;20000;1500;2,9;4,5;0,5;7,5;5,2;30;110;100;0,005;0,001;9
Rios;TI006;15,3;13;4,74;6,75;Presencia;Presencia;Ausencia;Ausencia;82000;25000;2100;2,9;3,2;0,44;7,2;3,3;30;110;100;0,005;0,001;9
Rios;TI006;15,3;12;4,25;6,74;Presencia;Presencia;Ausencia;Ausencia;120000;48000;4600;2,8;4,5;0,55;6,5;5,6;30;85;100;0,007;0,001;9
Rios;TI006;15,9;8;1,61;6,7;Presencia;Ausencia;Ausencia;Ausencia;9000;2000;100;2,8;5,6;0,62;7,3;4,9;30;45;100;0,005;0,001;9
Rios;TI006;15,2;12;8,63;6,92;Ausencia;Ausencia;Ausencia;Ausencia;;;;2,8;0,16;0,2;3,9;2;30;160;100;0,005;0,001;9
Arroyos;TI009;12,8;8;8,2;6,89;Ausencia;Ausencia;Ausencia;Ausencia;5300;400;90;2,7;0,34;0,2;5,8;2;30;140;100;0,005;0,001;9
Reservas y Puertos;SI022;16;17;9,37;8,01;ausencia;ausencia;ausencia;ausencia;88000;6000;1300;6,6;0,97;0,27;8,7;4,5;30;210;100;0,005;0,001;9
Playas;BS091;15;16;9,44;7,99;ausencia;ausencia;ausencia;ausencia;2500;2000;100;6,2;0,82;0,36;13;3,9;30;340;100;0,007;0,001;9
Ensenada;EN084;18;17;3,29;7,42;ausencia;ausencia;ausencia;ausencia;15000;12000;2000;22,1;5;0,51;4,3;5,6;30;6,9;100;0,005;0,001;9
Reservas y Puertos;SI022;15;14;10,01;7,59;ausencia;ausencia;ausencia;ausencia;6000;2000;830;5,8;0,9;0,36;8,9;4,3;30;250;100;0,005;0,001;9
Reservas y Puertos;SI022;14,8;14;9,32;7,81;ausencia;ausencia;ausencia;ausencia;4000;2000;1400;5,7;0,9;0,3;6,8;4,1;30;220;100;0,005;0,001;9
Costaneras;VL031;14,8;14;8,37;7,96;ausencia;ausencia;ausencia;ausencia;10000;7500;2300;6,3;2,1;0,36;6,1;6,1;30;120;100;0,005;0,001;9
Ensenada;EN084;16,8;14;3,76;7,48;Ausencia;Ausencia;Ausencia;Ausencia;180000;70000;500;3,9;3,9;0,77;6,7;15;36;65;100;0,005;0,001;
Playas;BS091;16,2;14;5,95;7,79;Ausencia;Ausencia;Ausencia;Ausencia;5000;2400;60;3,6;3,3;0,33;6;5,2;30;80;100;0,005;0,001;9
Arroyos;TI009;16,2;14;4,67;7,69;Ausencia;Ausencia;Ausencia;Ausencia;9000;6400;600;3,4;2,7;0,48;7,4;7,1;30;75;100;0,005;0,001;9
Costaneras;VL031;16,7;14;3,6;7,7;Ausencia;Ausencia;Ausencia;Ausencia;25000;6000;70;3,1;2,6;0,55;4,9;5;34;60;100;0,005;0,001;9
Arroyos;TI009;16,7;14;3,41;7,71;Ausencia;Ausencia;Ausencia;Ausencia;32000;9000;40;3,1;2,9;0,61;8,5;5,1;30;50;100;0,005;0,001;9
Ensenada;EN084;14,5;11;8,65;7,47;Ausencia;Ausencia;Ausencia;Presencia;6000;1000;20;3,8;1,4;0,87;8,9;12;30;50;100;0,005;0,001;9
Reservas y Puertos;SI022;14;11;6,99;7,5;Ausencia;Ausencia;Ausencia;Presencia;5000;2800;40;4,3;3;0,53;4;4,3;30;95;100;0,005;0,001;9
Ensenada;EN084;15;11;7,58;7,42;Ausencia;Ausencia;Ausencia;Ausencia;7000;2000;10;4,4;0,82;0,73;7;4,5;30;70;100;0,005;0,001;9
Berisso;BS095;13;18;15,2;9,66;Ausencia;Ausencia;Ausencia;Ausencia;20000;1000;500;4,3;0,08;0,22;3;9,5;40;65;100;0,005;0,001;28
Reservas y Puertos;SI022;13;16;12,39;9,23;Ausencia;Ausencia;Ausencia;Ausencia;29000;1000;800;5,9;0,24;0,22;4,2;9,8;33;75;100;0,005;0,001;4
Costaneras;VL031;11;15;12,67;9,44;Ausencia;Ausencia;Ausencia;Ausencia;5000;800;600;3,2;0,1;0,75;3,1;11;43;80;100;0,008;0,001;9
Reservas y Puertos;SI022;12,9;12;12,04;9,32;ausencia;ausencia;ausencia;ausencia;300;20;10;5,4;7;0,57;4,1;8,8;30;60;100;0,005;0,001;9
TOMA DE AGUA;EN082;14,2;12;11,48;8,95;ausencia;ausencia;ausencia;ausencia;400;30;10;6,4;0,26;0,26;2,1;2,8;30;45;100;0,005;0,001;9
Arroyos;TI009;14,5;11;4,47;7,68;ausencia;ausencia;ausencia;ausencia;10000;2800;1600;6,5;4,3;0,38;3,8;12;30;16;100;0,005;0,001;9
Ensenada;EN084;14,4;11;9,11;8,1;ausencia;ausencia;ausencia;ausencia;600;100;20;8,1;0,06;0,23;3,2;2,2;30;39;100;0,005;0,001;9
Canales;TI001;22,3;19;4,69;7,44;Ausencia;Ausencia;Ausencia;Ausencia;;50;;2;0,05;;;9;0,64;80;50;0,006;0,002;14
Rios;TI006;22,3;18;2,58;7,47;Ausencia;Ausencia;Ausencia;Presencia;;18300;;1,5;5,2;;;11;1,1;65;50;0,006;0,002;20
Canales;TI001;22,3;19;2,51;7,44;Ausencia;Ausencia;Ausencia;Ausencia;;11600;;1,8;5,7;;;12;1;75;50;0,006;0,002;14
Rios;TI006;22,1;18;1,73;7,36;Ausencia;Ausencia;Ausencia;Ausencia;;3100;;1,3;3,2;;;14;0,84;80;65;0,006;0,002;11
Rios;TI006;20,8;18;1,83;7,43;Ausencia;Ausencia;Ausencia;Ausencia;;2800;;1,4;4,5;;;13;0,84;65;50;0,006;0,002;10
Rios;TI006;22,2;18;1,7;7,41;Ausencia;Ausencia;Ausencia;Ausencia;;7700;;1,3;4,5;;;12;0,84;65;115;0,006;0,002;10
Rios;TI006;21,8;17;1,58;7,38;Ausencia;Ausencia;Ausencia;Ausencia;;7500;;1,6;4,13;;;15;0,77;55;50;0,006;0,002;10
Rios;TI006;22,6;20;5,6;7,35;Ausencia;Ausencia;Ausencia;Ausencia;;50;;1,9;0,14;;;11;0,45;85;50;0,006;0,002;10
Arroyos;TI009;21,6;20;4,55;7,08;Ausencia;Ausencia;Ausencia;Ausencia;;400;;2;0,19;;;16;0,45;100;50;0,006;0,002;12
Costaneras;VL031;;19;;;Ausencia;Ausencia;Ausencia;Ausencia;;3300;;1,5;2,3;;;15;0,77;80;145;0,006;0,002;10
Reservas y Puertos;SI022;20;23;;;Ausencia;Ausencia;Ausencia;Ausencia;;5800;;1,4;0,88;;;10;0,58;95;50;0,006;0,002;11
Playas;BS091;20;20;;;Ausencia;Ausencia;Ausencia;Ausencia;;14400;;5,3;0,24;;;8;0,71;100;75;0,006;0,002;10
Ensenada;EN084;20;20;;;Ausencia;Ausencia;Ausencia;Presencia;;279000;;10,6;7,8;;;28;1;15;50;0,006;0,002;10
Reservas y Puertos;SI022;20,4;19;8,9;7,73;Ausencia;Ausencia;Ausencia;Ausencia;;13600;;7,4;0,9;;;14;0,64;92;50;0,006;0,002;10
Reservas y Puertos;SI022;19,8;17;8,2;7,35;Ausencia;Ausencia;Ausencia;Ausencia;;14600;;6;0,65;;;16;0,58;95;50;0,006;0,002;11
Costaneras;VL031;19,4;17;7,7;7,29;Ausencia;Ausencia;Ausencia;Presencia;;23600;;6,5;1,2;;;12;0,64;100;50;0,006;0,002;10
Reservas y Puertos;SI022;22,4;20;8,7;8;Ausencia;;Ausencia;Ausencia;;5600;;;0,5;;;5;0,77;73;50;;0,002;10
Costaneras;VL031;20,4;19;9;7,7;Ausencia;;Ausencia;Ausencia;;1600;;;0,8;;;5;0,51;95;50;;0,002;15
Reservas y Puertos;SI022;21,5;18;8,8;7,9;Ausencia;;Ausencia;Ausencia;;2400;;;0,73;;;5;0,71;112;50;;0,002;12
Reservas y Puertos;SI022;20,5;18;9;8,1;Ausencia;;Ausencia;Ausencia;;570;;;0,3;;;5;0,77;68;118;;0,002;10
Ensenada;EN084;21,8;;7,84;7,85;;;;;;2400;;4,3;1,8;;;16;2,2;55;50;0,006;0,002;28
Playas;BS091;21,8;;9,49;8,18;Ausencia;Ausencia;Ausencia;Ausencia;;7800;;3,9;2,5;;;20;0,77;70;50;0,006;0,002;49
Arroyos;TI009;19,4;;11,01;8,44;;;;;;2200;;6,9;0,76;;;16;0,45;100;54;0,006;0,002;26
Costaneras;VL031;20,1;;10,56;8,37;Ausencia;Ausencia;Ausencia;Ausencia;;3300;;5,4;0,72;;;12;0,64;100;50;0,006;0,002;50
Arroyos;TI009;19,9;;10,37;8,3;;;;;;1800;;7,7;0,75;;;14;0,64;100;50;0,006;0,002;47
Berisso;BS095;22;20;7,68;8,13;Ausencia;Ausencia;Ausencia;Ausencia;;550;;6,2;0,87;;;22;1,05;68;65;0,006;0,002;84
Reservas y Puertos;SI022;20;20;8,4;7,96;Ausencia;Ausencia;Ausencia;Ausencia;;50;;7,9;0,23;;;22;0,84;100;50;0,006;0,002;17
Costaneras;VL031;18;18;9,76;7,88;Ausencia;Ausencia;Ausencia;Ausencia;;50;;7,2;0,05;;;16;0,71;100;50;0,006;0,002;38
Reservas y Puertos;SI022;19,7;13;9,42;8,03;Ausencia;Presencia;Ausencia;Ausencia;;1300;;6,3;0,81;;;20;0,71;100;50;0,006;0,002;16
TOMA DE AGUA;EN082;18,5;13;6,12;7,71;Ausencia;Ausencia;Ausencia;Presencia;;250;;7,3;0,47;;;18;0,38;100;50;0,006;0,002;10
Arroyos;TI009;21,2;13;2,42;8,12;Ausencia;Presencia;Ausencia;Ausencia;;8400;;2,5;11,4;;;20;0,7;35;50;0,006;0,002;32
Ensenada;EN084;19,6;13;6,67;7,72;Ausencia;Presencia;Ausencia;Ausencia;;750;;8,2;0,29;;;9;0,58;100;50;0,006;0,002;15
Canales;TI001;26,6;22;6,26;7,37;Ausencia;Ausencia;Ausencia;Ausencia;;700;;1,3;0,05;;;8;0,15;110;50;0,006;0,002;10
Rios;TI006;26;22;1,95;7,36;Ausencia;Ausencia;Ausencia;Ausencia;;4600;;2,8;0,73;;;8;0,16;70;50;0,006;0,002;10
Canales;TI001;26;22;1,04;7,44;Ausencia;Ausencia;Ausencia;Ausencia;;6600;;2,2;1,4;;;10;0,17;55;50;0,006;0,002;10
Rios;TI006;25,5;22;1,87;7,35;Ausencia;Ausencia;Ausencia;Ausencia;;4700;;1,8;0,56;;;10;0,25;60;50;0,006;0,002;10
Rios;TI006;25,7;22;0,93;7,39;Ausencia;Ausencia;Ausencia;Ausencia;;8200;;1,6;1,72;;;11;0,12;50;50;0,006;0,002;10
Rios;TI006;26,1;22;1,16;7,47;Ausencia;Ausencia;Ausencia;Ausencia;;8000;;1,5;1,87;;;6;0,42;38;50;0,006;0,002;10
Rios;TI006;26,8;22;1,5;7,49;Ausencia;Ausencia;Ausencia;Ausencia;;7500;;1,2;1,98;;;10;0,35;41;50;0,006;0,002;10
Rios;TI006;26,9;25;6,49;7,56;Ausencia;Ausencia;Ausencia;Ausencia;;700;;1,1;0,18;;;9;0,2;125;50;0,006;0,002;10
Arroyos;TI009;26,3;25;5,51;7,37;Ausencia;Ausencia;Ausencia;Ausencia;;1500;;1,2;0,13;;;8;0,17;100;50;0,006;0,002;10
Costaneras;VL031;27,2;26;3,21;7,57;Ausencia;Ausencia;Ausencia;Presencia;;14200;;1,7;2,25;;;10;0,25;60;50;0,006;0,002;10
Reservas y Puertos;SI022;27;26;5,64;7,7;Ausencia;Ausencia;Ausencia;Ausencia;;8300;;3,6;0,77;;;8;0,34;65;62;0,006;0,002;10
Playas;BS091;27,5;26;5,61;7,62;Ausencia;Ausencia;Ausencia;Ausencia;;32500;;3,8;0,71;;;4;0,51;53;50;0,006;0,002;10
Ensenada;EN084;25;26;3,2;7,73;Ausencia;Ausencia;Ausencia;Presencia;;360000;;20;3,49;;;11;0,21;6;50;0,006;0,002;10
Reservas y Puertos;SI022;25,5;;5,4;7,13;Ausencia;Ausencia;Ausencia;Ausencia;;25000;;5,5;0,75;;;9;0,06;52;50;0,006;0,002;10
Reservas y Puertos;SI022;25,4;;5,6;7;Ausencia;Ausencia;Ausencia;Ausencia;;17400;;5,1;0,73;;;5;0,12;43;50;0,006;0,002;10
Costaneras;VL031;26,9;;4,5;7,03;Ausencia;Ausencia;Ausencia;Ausencia;;36800;;14,1;1,12;;;12;0,31;61;50;0,006;0,002;10
Reservas y Puertos;SI022;25,6;;8,2;7,8;;;;;;4200;;10;0,3;;;5;0,16;81;50;0,006;0,002;10
Costaneras;VL031;25,2;;7,4;7,5;;;;;;8500;;10;0,8;;;5;0,18;72;50;0,006;0,002;10
Reservas y Puertos;SI022;25,1;;8,1;7,8;;;;;;11000;;10;0,5;;;7;0,22;150;50;0,006;0,002;10
